transcript_id,chromosome,gene_id,start,mean,mean_height,var,range,skew,peak_count,peak_location,peak_prominence,peak_width,peak_left,peak_right,entropy,annotated,peak_heights,rank,true_peak
ENSMUST00020182370.1,chr2,ENSMUSG00002076739.1,3076101,5.090909090824425,0.21153846153846154,80.44628099173553,32.0,2.088677553358348,2.0,0.0,7.0,1.9600000000000009,0,0,1.0335620542068176,3076143,7.0,1.0,False
ENSMUST00020182370.1,chr2,ENSMUSG00002076739.1,3076101,5.090909090824425,0.21153846153846154,80.44628099173553,32.0,2.088677553358348,2.0,31.0,1.0,1.9599999999999937,30,31,1.0335620542068176,3076143,1.0,2.0,False
ENSMUST00000115099.9,chr2,ENSMUSG00000050530.15,3119419,0.8118081181310117,5.645833333333333,8.285617025911955,28.0,5.03896402213302,3.0,0.0,238.0,1.9600000000000009,0,0,0.6292993260146589,3119418,238.0,1.0,False
ENSMUST00000115099.9,chr2,ENSMUSG00000050530.15,3119419,0.8118081181310117,5.645833333333333,8.285617025911955,28.0,5.03896402213302,3.0,12.0,3.0,1.9600000000000009,11,12,0.6292993260146589,3119418,3.0,2.0,False
ENSMUST00000115099.9,chr2,ENSMUSG00000050530.15,3119419,0.8118081181310117,5.645833333333333,8.285617025911955,28.0,5.03896402213302,3.0,27.0,1.0,1.9599999999999937,26,27,0.6292993260146589,3119418,1.0,3.0,False
ENSMUST00000062934.7,chr2,ENSMUSG00000050530.15,3119461,0.6690391460433602,7.805555555555555,5.018578792061905,16.0,4.150848503797215,2.0,0.0,250.0,1.9600000000000009,0,0,0.5578402020164017,3119721,250.0,1.0,False
ENSMUST00000062934.7,chr2,ENSMUSG00000050530.15,3119461,0.6690391460433602,7.805555555555555,5.018578792061905,16.0,4.150848503797215,2.0,15.0,2.0,2.9400000000000013,13,15,0.5578402020164017,3119721,2.0,2.0,False
ENSMUST00000081932.13,chr2,ENSMUSG00000026643.17,3285249,0.7066326532512903,9.116279069767442,7.600160089546023,23.0,4.780870950956012,2.0,0.0,357.0,1.9655211267605637,0,0,0.5194511415530898,3285248,357.0,1.0,False
ENSMUST00000081932.13,chr2,ENSMUSG00000026643.17,3285249,0.7066326532512903,9.116279069767442,7.600160089546023,23.0,4.780870950956012,2.0,17.0,3.0,1.9600000000000009,16,17,0.5194511415530898,3285248,3.0,2.0,False
ENSMUST00000194918.6,chr2,ENSMUSG00000026645.12,3367679,1.99130434775725,10.0,0.017315689981096415,3.0,-15.066664088806688,1.0,2.0,229.0,1.9600000000000009,1,2,0.027982183645278484,3398248,229.0,0.0,False
ENSMUST00000115089.2,chr2,ENSMUSG00000026644.8,3337205,85.95918367337435,0.011705685618729096,346645.3860891295,4166.0,6.783608134637832,3.0,0.0,41.0,1.9600000000000009,0,0,0.7562539900290651,3337204,41.0,1.0,False
ENSMUST00000115089.2,chr2,ENSMUSG00000026644.8,3337205,85.95918367337435,0.011705685618729096,346645.3860891295,4166.0,6.783608134637832,3.0,14.0,1.0,1.9600000000000009,13,14,0.7562539900290651,3337204,1.0,2.0,False
ENSMUST00000115089.2,chr2,ENSMUSG00000026644.8,3337205,85.95918367337435,0.011705685618729096,346645.3860891295,4166.0,6.783608134637832,3.0,4165.0,1.0,1.9599999999991269,4164,4165,0.7562539900290651,3337204,1.0,3.0,False
ENSMUST00000228935.2,chr2,ENSMUSG00000026644.8,3337205,0.0,0.047619047619047616,0.0,1.0,,1.0,0.0,1.0,1.9600000000000009,0,0,0.0,3337204,1.0,0.0,False
ENSMUST00000193499.2,chr2,ENSMUSG00000103786.2,3355191,16.63513513514772,1.8974358974358974,11.447954711468224,19.0,-2.8141106686829227,2.0,18.0,61.0,1.9600000000000009,17,18,0.7817567646557242,3355042,61.0,1.0,False
ENSMUST00000193499.2,chr2,ENSMUSG00000103786.2,3355191,16.63513513514772,1.8974358974358974,11.447954711468224,19.0,-2.8141106686829227,2.0,6.0,1.0,2.960000000000001,5,7,0.7817567646557242,3355042,1.0,2.0,False
ENSMUST00000115084.8,chr2,ENSMUSG00000026650.16,3420154,16.375,0.8421052631578947,8.921875,18.0,-5.1559647484535285,2.0,17.0,30.0,1.9600000000000009,16,17,0.2771133574914559,3420057,30.0,1.0,False
ENSMUST00000115084.8,chr2,ENSMUSG00000026650.16,3420154,16.375,0.8421052631578947,8.921875,18.0,-5.1559647484535285,2.0,0.0,1.0,1.9600000000000009,0,0,0.2771133574914559,3420057,1.0,2.0,False
ENSMUST00000061852.12,chr2,ENSMUSG00000026648.19,3425168,1.0391061450354755,8.136363636363637,10.629755625604693,24.0,3.734295524812863,3.0,0.0,314.0,1.9631309904153351,0,0,0.694224013014035,3425167,314.0,1.0,False
ENSMUST00000061852.12,chr2,ENSMUSG00000026648.19,3425168,1.0391061450354755,8.136363636363637,10.629755625604693,24.0,3.734295524812863,3.0,13.0,3.0,1.9600000000000009,12,13,0.694224013014035,3425167,4.0,2.0,False
ENSMUST00000061852.12,chr2,ENSMUSG00000026648.19,3425168,1.0391061450354755,8.136363636363637,10.629755625604693,24.0,3.734295524812863,3.0,23.0,1.0,1.9599999999999937,22,23,0.694224013014035,3425167,1.0,3.0,False
ENSMUST00000036350.3,chr2,ENSMUSG00000039496.9,3514102,0.7416666666977108,3.870967741935484,13.15826388888889,42.0,7.53197609881908,4.0,0.0,223.0,1.9600000000000009,0,0,0.4116811656295962,3514101,223.0,1.0,False
ENSMUST00000036350.3,chr2,ENSMUSG00000039496.9,3514102,0.7416666666977108,3.870967741935484,13.15826388888889,42.0,7.53197609881908,4.0,13.0,2.0,3.9400000000000013,10,13,0.4116811656295962,3514101,2.0,2.0,False
ENSMUST00000036350.3,chr2,ENSMUSG00000039496.9,3514102,0.7416666666977108,3.870967741935484,13.15826388888889,42.0,7.53197609881908,4.0,24.0,1.0,1.9599999999999937,23,24,0.4116811656295962,3514101,1.0,3.0,False
ENSMUST00000036350.3,chr2,ENSMUSG00000039496.9,3514102,0.7416666666977108,3.870967741935484,13.15826388888889,42.0,7.53197609881908,4.0,41.0,1.0,1.9599999999999937,40,41,0.4116811656295962,3514101,1.0,4.0,False
ENSMUST00000286170.1,chr2,ENSMUSG00000128177.1,4077720,20.945402299053967,8.093023255813954,11.775754723213103,23.0,-3.734310774418615,2.0,22.0,308.0,1.9599999999999973,21,22,0.6470462534647111,4077621,308.0,1.0,False
ENSMUST00000286170.1,chr2,ENSMUSG00000128177.1,4077720,20.945402299053967,8.093023255813954,11.775754723213103,23.0,-3.734310774418615,2.0,5.0,4.0,6.900000000000002,4,10,0.6470462534647111,4077621,4.0,2.0,False
ENSMUST00000193956.2,chr2,ENSMUSG00000104284.2,4096071,0.3603603602387011,3.3636363636363638,2.9872575277980684,13.0,5.2980697263212395,2.0,0.0,105.0,1.9600000000000009,0,0,0.30713527548764985,4095950,105.0,1.0,False
ENSMUST00000193956.2,chr2,ENSMUSG00000104284.2,4096071,0.3603603602387011,3.3636363636363638,2.9872575277980684,13.0,5.2980697263212395,2.0,12.0,1.0,1.9600000000000009,11,12,0.30713527548764985,4095950,1.0,2.0,False
ENSMUST00000195785.2,chr2,ENSMUSG00000102517.2,4108503,0.641025641001761,2.2941176470588234,5.768573307034845,14.0,3.945818563089787,2.0,0.0,72.0,1.9600000000000009,0,0,0.39124401989118307,4108687,72.0,1.0,False
